neighborhood,house_age,num_bedrooms,num_bathrooms,sqft_living,sqft_lot,num_floors,garage_type,has_pool,house_condition,heating_type,school_rating,crime_rate,renovation_year,price
Rural,62,2,1,929.0,8909.0,2,Double,0,Fair,Radiator,9.5,1.22,2002.0,191860
Downtown,10,4,3,1657.0,2971.0,2,Single,1,Fair,Electric,5.0,2.32,2019.0,357460
Uptown,52,1,1,491.0,3651.0,3,Double,0,Fair,Central,9.4,2.15,2014.0,205026
Downtown,73,3,2,1570.0,3211.0,2,Single,0,Good,Central,9.8,3.43,2004.0,347915
Midtown,46,4,3,1833.0,4902.0,2,Single,0,Fair,Electric,9.7,6.84,0.0,360927
Historic,55,4,4,2025.0,8596.0,3,Double,0,Good,Central,6.6,5.32,2009.0,420377
Suburbs,46,3,3,1086.0,4774.0,1,,0,Good,Central,4.1,5.17,2010.0,263527
Downtown,75,3,3,1142.0,5061.0,1,Single,0,Fair,Central,6.7,15.97,2021.0,271478
Uptown,60,3,2,1327.0,9174.0,1,Double,0,Good,Central,8.7,0.38,0.0,305600
Historic,26,3,2,1602.0,6421.0,2,Single,0,Excellent,Central,5.5,0.86,2006.0,416397
Historic,27,2,1,912.0,6755.0,2,Single,0,Excellent,Radiator,8.4,0.29,0.0,322135
Historic,38,4,3,1745.0,4540.0,2,,0,Fair,Central,7.1,1.68,2001.0,323133
Downtown,22,3,3,1410.0,9331.0,1,Single,1,Excellent,Central,6.8,0.86,0.0,455913
Suburbs,26,5,3,1874.0,9860.0,2,Single,1,Fair,Radiator,5.7,2.08,2023.0,374186
Downtown,69,3,3,1442.0,5960.0,2,Double,0,Excellent,Central,7.8,4.21,2016.0,457474
Uptown,35,5,5,1844.0,3318.0,1,,0,Good,Radiator,5.6,0.75,0.0,418449
Waterfront,66,3,3,1396.0,3757.0,1,Single,0,Fair,Electric,6.2,0.66,1993.0,294124
Suburbs,73,4,4,1971.0,3119.0,1,Single,1,Excellent,,3.8,4.76,2000.0,421266
Downtown,51,2,1,864.0,2105.0,2,Single,0,Fair,Radiator,8.4,,1993.0,229356
Suburbs,18,4,2,2128.0,9633.0,2,Single,0,Good,Central,7.2,1.58,2009.0,411096
Suburbs,43,3,2,1141.0,3217.0,2,Single,0,Good,,8.1,1.72,0.0,280784
Historic,12,3,3,1152.0,4251.0,2,Double,0,Fair,Central,9.7,1.36,2019.0,294034
Waterfront,3,2,1,906.0,6285.0,2,Single,0,Good,Electric,4.8,,0.0,296253
Uptown,7,1,1,536.0,2823.0,2,,0,Good,Central,8.0,0.73,2019.0,209516
Rural,6,4,3,1712.0,5308.0,2,Single,1,Good,Electric,5.3,1.62,2021.0,418065
Downtown,45,3,2,1605.0,2242.0,1,,0,Good,Central,4.4,20.07,0.0,369569
Historic,39,4,3,1954.0,9523.0,3,Single,1,Good,Central,6.8,2.47,1990.0,400284
Historic,51,3,3,1519.0,4075.0,1,,0,Good,Central,9.7,3.64,0.0,314913
Rural,9,2,1,1075.0,3406.0,2,Double,0,Good,Electric,9.7,1.66,2022.0,250843
Historic,23,4,3,1857.0,2925.0,2,Double,0,Fair,Central,9.4,,2021.0,383371
Rural,12,4,3,1913.0,8858.0,3,Single,0,Good,Central,6.5,3.79,2023.0,402447
Rural,62,3,2,1397.0,6623.0,1,Single,0,Excellent,Central,7.5,2.6,2002.0,317096
Suburbs,73,4,3,2027.0,,3,,0,Good,Central,3.5,19.18,2021.0,359133
Downtown,77,4,3,1618.0,6384.0,1,Double,0,Good,Central,,0.14,0.0,375505
Downtown,40,5,4,2538.0,,1,,0,Excellent,Central,4.9,1.11,,581595
Downtown,54,1,1,492.0,5599.0,2,Single,0,Excellent,Central,4.7,13.72,0.0,195629
Waterfront,7,4,4,1881.0,4300.0,1,Single,0,Good,Radiator,9.2,26.63,2020.0,468625
Suburbs,17,3,3,1073.0,5588.0,1,Single,0,Poor,Central,6.6,3.81,2015.0,218596
Rural,50,4,2,2019.0,9031.0,2,Double,0,Excellent,Central,6.0,11.87,2005.0,391737
Midtown,24,3,2,1129.0,6099.0,3,,0,Good,Central,3.6,5.96,0.0,297318
Suburbs,2,4,3,2169.0,4564.0,2,,0,Excellent,Radiator,8.4,15.33,2023.0,441218
Suburbs,33,4,2,1465.0,2168.0,2,Single,0,Good,,3.0,2.59,0.0,313935
Historic,21,3,2,1482.0,6134.0,1,Double,0,Good,Central,8.9,4.72,2022.0,380932
Suburbs,74,3,2,1266.0,2422.0,2,Single,0,Good,Central,4.3,9.22,2023.0,268365
Downtown,53,4,4,1988.0,3536.0,3,,0,Fair,,6.5,0.94,2016.0,397867
Suburbs,46,3,2,1361.0,5323.0,2,Double,0,Excellent,Radiator,5.5,,2004.0,352596
Suburbs,45,1,1,475.0,4101.0,2,Double,0,Excellent,Radiator,9.5,2.7,2006.0,212387
Midtown,9,1,1,365.0,7155.0,1,Double,0,Excellent,Electric,9.8,0.7,0.0,275058
Uptown,6,4,2,2173.0,,2,,0,Good,Central,8.7,1.44,2023.0,427039
Waterfront,51,4,3,1403.0,5518.0,2,Double,0,Good,Central,7.3,5.52,0.0,423686
Uptown,35,4,4,2152.0,9906.0,2,Single,1,Good,Central,6.6,0.92,0.0,419705
Uptown,53,3,2,1390.0,9038.0,1,Single,0,Good,Central,4.6,5.63,,322315
Suburbs,19,3,3,1204.0,5447.0,2,Single,0,Good,Electric,7.2,2.68,2009.0,292457
Uptown,69,2,1,955.0,4424.0,1,Single,0,Good,Central,7.6,23.35,2016.0,225728
Rural,25,6,3,2907.0,3478.0,2,,0,Good,Central,9.5,9.4,2000.0,531947
Uptown,11,3,2,1488.0,7641.0,1,Single,0,Poor,Central,7.3,7.93,0.0,263009
Uptown,74,3,2,1059.0,2308.0,2,Single,0,Fair,Central,9.0,1.76,0.0,221124
Suburbs,17,4,2,2186.0,3638.0,2,Single,1,Good,Radiator,5.9,7.83,2015.0,428809
Downtown,36,5,3,2367.0,9146.0,1,,0,Fair,,6.7,2.55,0.0,433423
Suburbs,21,2,1,851.0,6516.0,1,Double,0,Good,Central,9.4,4.25,2006.0,263355
Suburbs,18,3,2,1392.0,6504.0,2,Single,0,Poor,Central,8.2,3.1,0.0,241357
Uptown,60,3,3,1157.0,6788.0,3,,0,Excellent,Central,9.5,7.37,1994.0,382272
Uptown,18,4,3,1597.0,6219.0,1,Single,0,Excellent,Radiator,4.0,3.95,2008.0,439294
Downtown,1,2,2,734.0,5413.0,2,Double,0,Excellent,Electric,4.4,4.93,0.0,329228
Rural,14,4,3,2103.0,8629.0,2,Double,0,Excellent,Central,5.0,4.09,2020.0,421494
Suburbs,8,3,2,1200.0,4295.0,3,Double,1,Good,Central,8.8,11.32,2020.0,365057
Suburbs,66,4,3,1991.0,7662.0,2,Single,0,Fair,Electric,5.8,118.01654972982334,1998.0,327307
Downtown,51,2,2,809.0,7070.0,2,,0,Good,Central,3.1,2.81,0.0,232249
Suburbs,79,2,2,758.0,1331.0,2,Double,1,Good,Central,5.1,3.54,2013.0,220343
Midtown,60,4,4,1486.0,6571.0,2,Double,0,Fair,Central,3.7,0.95,2006.0,272002
Suburbs,34,4,3,2088.0,6114.0,2,Single,0,Excellent,Radiator,8.3,1.87,0.0,472266
Rural,36,4,2,1495.0,5314.0,2,Single,0,Good,Central,5.2,7.1,2006.0,307719
Historic,62,4,3,1469.0,4028.0,2,Double,0,Poor,Central,7.7,5.16,0.0,272359
Suburbs,1,2,1,703.0,4841.0,1,Double,0,Poor,Electric,,4.68,0.0,164522
Midtown,42,3,2,1269.0,3128.0,1,Double,0,Good,Central,9.6,3.11,2022.0,363621
Midtown,1,3,3,1615.0,3392.0,2,Double,0,Fair,Electric,4.8,2.59,0.0,348999
Suburbs,54,5,4,2658.0,5876.0,1,Single,0,Excellent,Central,7.0,1.33,0.0,577706
Rural,47,3,2,1119.0,6317.0,3,Single,0,Fair,,7.0,12.21,1997.0,243536
Suburbs,39,2,1,704.0,8019.0,2,Double,0,Fair,Central,7.2,18.44,0.0,191798
Suburbs,30,3,2,1500.0,3001.0,2,Single,0,Fair,Central,4.5,1.21,2011.0,280675
Downtown,7,5,3,2056.0,7483.0,2,,1,Fair,Central,5.3,2.65,0.0,424645
Waterfront,22,4,2,2067.0,3694.0,1,Single,0,Good,Electric,4.5,0.94,0.0,515594
Rural,50,5,4,1965.0,3067.0,1,Single,1,Good,Central,3.2,6.18,0.0,360237
Downtown,45,3,2,1345.0,8303.0,2,Single,0,Fair,Central,7.5,5.45,1992.0,287633
Suburbs,74,4,2,1426.0,6814.0,1,,0,Fair,Central,,0.11,0.0,264427
Midtown,72,3,2,1586.0,3981.0,2,Single,1,Good,Central,7.9,1.87,0.0,349378
Suburbs,10,2,1,771.0,5434.0,1,Double,0,Fair,Central,8.6,1.96,0.0,203373
Downtown,14,1,1,408.0,2432.0,3,Double,1,Excellent,Central,3.3,6.3,0.0,250863
Rural,46,2,1,891.0,6682.0,1,,0,Good,Central,8.1,0.96,2005.0,201922
Midtown,75,4,2,1617.0,3823.0,1,Single,0,Good,Electric,6.7,12.69,0.0,320260
Suburbs,6,5,3,1790.0,3456.0,3,,0,Good,Electric,5.0,0.43,0.0,351707
Waterfront,21,2,2,711.0,3143.0,2,Double,0,Excellent,Central,7.2,1.21,2009.0,358174
Historic,62,5,3,2705.0,4965.0,1,,1,Good,Electric,8.0,0.13,2012.0,561935
Suburbs,19,3,2,1245.0,6037.0,1,,0,Good,Central,9.6,23.99,2020.0,329462
Historic,62,3,2,1250.0,7579.0,1,Single,1,Fair,Central,4.4,8.85,1994.0,263085
Suburbs,53,3,3,1603.0,9443.0,3,,1,Good,,7.8,5.67,2021.0,313254
Waterfront,24,3,3,1551.0,2715.0,2,Double,1,Poor,Central,7.0,21.59,0.0,328707
Waterfront,56,3,2,1462.0,5698.0,1,Double,0,Poor,Radiator,7.1,0.08,1998.0,307101
Rural,62,4,2,1926.0,9091.0,2,Single,0,Fair,Radiator,3.7,9.1,1996.0,259625
Downtown,34,4,2,2040.0,8873.0,1,Single,0,Good,Central,6.1,5.77,2002.0,452360
Uptown,22,4,4,1535.0,6142.0,2,,0,Good,Central,7.4,0.87,2015.0,376133
Suburbs,68,3,2,1448.0,2910.0,2,Single,1,Good,Electric,4.4,7.97,1999.0,306065
Suburbs,57,4,2,1478.0,3030.0,2,,0,Fair,Electric,4.6,7.51,1990.0,252263
Downtown,10,4,4,1501.0,2989.0,3,Single,0,Poor,,7.2,1.77,2016.0,290133
Rural,66,6,4,2391.0,9589.0,3,Single,0,Good,Central,7.9,3.23,2012.0,430905
Waterfront,8,3,2,1475.0,2062.0,1,Single,0,Fair,Electric,4.4,0.17,0.0,300984
Downtown,38,6,5,3171.0,8622.0,1,Double,0,Good,Radiator,7.1,0.03,0.0,564123
Rural,62,4,4,1952.0,2924.0,2,Single,0,Poor,,6.0,1.52,1998.0,248004
Suburbs,28,4,3,1733.0,6439.0,1,Single,0,Good,Central,4.2,1.82,1998.0,356899
Waterfront,10,1,1,452.0,6952.0,1,Double,0,Fair,Central,3.7,9.66,0.0,201591
Suburbs,45,3,3,1477.0,4445.0,3,Single,1,Fair,Central,8.4,3.1,0.0,327786
Waterfront,65,3,3,1417.0,8129.0,3,Single,0,Fair,Central,5.1,14.19,0.0,318337
Suburbs,67,1,1,455.0,7217.0,3,Single,0,Good,Central,3.9,5.36,0.0,111406
Midtown,9,3,2,1192.0,6566.0,2,,0,Excellent,Central,7.5,4.9,0.0,377105
Downtown,5,6,4,2840.0,6835.0,2,,0,Excellent,Central,5.4,1.95,0.0,604722
Suburbs,10,3,3,1061.0,1807.0,1,Double,0,Excellent,Radiator,3.3,1.32,2014.0,361217
Downtown,12,2,1,924.0,4302.0,3,Single,0,Fair,Central,9.6,3.1,0.0,239842
Midtown,58,3,2,1542.0,4111.0,1,,0,Good,Central,7.7,6.9,0.0,293453
Uptown,21,1,1,385.0,7016.0,1,Single,0,Good,Central,4.3,2.29,2014.0,220106
Suburbs,21,3,2,1118.0,6112.0,1,Single,1,Good,Electric,3.3,9.09,,293623
Waterfront,65,3,2,1632.0,6108.0,2,,0,Good,Central,6.4,6.04,2011.0,343090
Uptown,3,3,2,1556.0,3577.0,3,Double,1,Good,Central,10.0,0.85,0.0,447605
Rural,69,4,3,1641.0,2466.0,1,Single,1,Good,Central,5.6,2.09,2013.0,327697
Rural,64,2,1,783.0,6594.0,1,Single,0,Good,Central,9.2,0.24,2003.0,185265
Suburbs,49,5,3,2084.0,3185.0,1,Double,0,Fair,Electric,8.0,2.46,1997.0,366662
Downtown,72,6,5,2617.0,7858.0,2,Single,1,Fair,Central,4.8,3.3,0.0,507613
Uptown,17,1,1,514.0,5461.0,2,Single,0,Good,Central,3.3,8.89,0.0,203063
Midtown,73,4,3,1591.0,2901.0,1,Single,0,Good,Radiator,9.2,2.64,2018.0,360648
Waterfront,32,3,3,1482.0,2385.0,1,,0,Good,Electric,8.7,4.83,,371449
Suburbs,70,3,2,1607.0,8887.0,1,,0,Good,Central,7.9,,2009.0,270603
Suburbs,21,2,2,851.0,7337.0,2,Single,0,Fair,Central,9.8,5.8,2016.0,234538
Historic,7,3,3,1065.0,7111.0,1,,0,Poor,Central,9.6,0.95,2021.0,266655
Uptown,7,6,4,3093.0,10438.0,1,,0,Good,Central,,1.23,0.0,557827
Uptown,27,2,2,983.0,7949.0,2,Double,0,Good,Central,6.7,9.81,0.0,325997
Historic,8,2,1,759.0,5948.0,2,Single,0,Fair,Central,4.5,2.2,2021.0,243260
Waterfront,73,2,1,938.0,3712.0,2,Single,1,Excellent,Electric,9.2,1.44,2012.0,384965
Downtown,28,3,2,1544.0,4271.0,2,,0,Good,Central,3.3,0.06,,361941
Suburbs,79,5,4,1931.0,5448.0,1,Single,1,Good,Central,7.9,6.32,2010.0,393926
Uptown,66,3,3,1183.0,7280.0,1,Single,0,Good,Central,7.7,3.16,1998.0,332975
Waterfront,71,2,2,780.0,8413.0,2,Double,1,Fair,,4.5,0.95,0.0,274645
Downtown,47,3,3,1648.0,3586.0,1,Single,0,Excellent,Central,9.5,10.4,2000.0,457458
Downtown,10,3,2,1187.0,6733.0,2,Single,0,Fair,Central,7.2,8.01,,291890
Waterfront,33,1,1,403.0,3786.0,2,Single,0,Good,Central,9.4,1.62,0.0,243851
Downtown,7,3,2,1078.0,4962.0,3,,0,Good,Central,6.3,1.26,2018.0,343250
Suburbs,3,2,2,1093.0,2256.0,2,Single,0,Good,Electric,8.7,2.7,2023.0,281479
Rural,14,4,4,1597.0,4081.0,1,Single,0,Good,Electric,8.7,2.27,2018.0,423742
Waterfront,44,3,3,1485.0,2138.0,1,Double,0,Excellent,Central,7.6,0.85,0.0,466614
Waterfront,46,4,3,1421.0,5809.0,1,Single,0,Excellent,Central,6.0,19.87,2006.0,410311
Suburbs,61,6,5,3040.0,4272.0,2,Single,0,Poor,Radiator,9.3,2.04,2018.0,388991
Historic,36,5,4,2500.0,3805.0,1,Single,0,Good,Central,8.8,3.78,0.0,524569
Suburbs,13,2,2,733.0,4340.0,2,,0,Good,Central,4.6,6.79,,219784
Suburbs,16,5,4,1872.0,6589.0,2,,1,Excellent,,6.0,13.14,0.0,449770
Historic,5,4,3,1636.0,2317.0,2,Single,0,Poor,Central,4.0,0.81,0.0,265573
Waterfront,38,4,3,1683.0,7728.0,2,Single,0,Fair,Central,3.2,0.76,0.0,342633
Uptown,50,2,2,1013.0,5192.0,1,,0,Excellent,,3.5,4.66,2008.0,289075
Waterfront,38,2,1,724.0,5292.0,1,Double,0,Good,Central,3.7,1.51,,278557
Rural,56,6,5,2880.0,6555.0,2,,0,Good,Radiator,5.4,5.48,2000.0,530616
Downtown,63,2,2,791.0,4444.0,3,,1,Excellent,Central,9.5,0.86,0.0,332216
Suburbs,48,2,2,852.0,8031.0,1,Double,0,Good,Electric,7.1,4.31,2006.0,250808
Suburbs,59,3,3,1051.0,3254.0,3,Single,1,Fair,Central,9.2,6.59,2002.0,272974
Suburbs,77,5,4,2041.0,2878.0,2,Single,0,Excellent,Central,3.3,6.4,0.0,393407
Midtown,44,3,2,1152.0,7898.0,3,Single,0,Good,Central,7.4,,0.0,263929
Suburbs,55,5,4,2253.0,6088.0,1,,0,Good,Radiator,6.6,5.24,2006.0,407717
Uptown,55,3,2,1144.0,5970.0,1,Single,0,Fair,Central,4.1,24.66,0.0,214560
Waterfront,1,2,2,1034.0,6835.0,1,Double,1,Good,Central,4.5,16.24,0.0,338448
Historic,8,3,2,1579.0,8849.0,2,Single,0,Good,Central,4.1,0.5,2018.0,307413
Rural,4,4,3,2076.0,7450.0,2,Double,0,Fair,,4.7,2.32,0.0,371985
Rural,53,3,3,1639.0,9157.0,1,,0,Good,Electric,3.0,8.3,2001.0,293142
Rural,58,3,2,1598.0,5396.0,1,Double,0,Excellent,Central,5.2,3.06,2014.0,337158
Suburbs,37,2,1,811.0,2038.0,1,Single,1,Good,,9.9,1.76,0.0,302552
Historic,49,3,3,1238.0,5309.0,2,,1,Poor,Radiator,7.4,10.97,2011.0,241897
Suburbs,67,4,3,1826.0,5346.0,1,,1,Fair,Central,6.8,2.46,1995.0,314140
Downtown,19,3,2,1280.0,6738.0,3,,0,Good,Central,6.8,0.13,0.0,381163
Waterfront,1,2,1,1087.0,4524.0,1,Single,0,Good,Electric,7.2,3.07,0.0,358771
Suburbs,29,2,2,835.0,5358.0,1,Single,1,Good,Central,8.2,2.58,2015.0,275814
Midtown,33,3,2,1494.0,7624.0,2,,0,Excellent,Central,8.6,1.24,2014.0,415551
Midtown,52,5,4,2325.0,4838.0,1,Single,1,Good,Radiator,3.2,2.23,2013.0,453402
Midtown,41,3,2,1623.0,6119.0,2,Single,1,Fair,Central,4.3,0.66,0.0,314191
Suburbs,23,2,1,997.0,3330.0,3,Single,1,Fair,Radiator,4.2,4.26,2005.0,200407
Downtown,5,3,2,1232.0,5830.0,1,,0,Excellent,Radiator,5.7,2.72,2021.0,369378
Midtown,71,4,4,1557.0,3556.0,1,Single,0,Good,Central,4.9,,0.0,354723
Suburbs,57,3,2,1562.0,5463.0,3,,1,Good,Central,8.7,26.3,0.0,331957
Midtown,6,3,2,1596.0,6033.0,1,Single,0,Good,Central,,18.7,0.0,370895
Midtown,49,4,2,2064.0,8004.0,2,Single,0,Fair,Central,8.9,9.69,1992.0,346006
Uptown,22,4,3,1989.0,3396.0,2,Double,0,Good,Central,8.0,1.43,2014.0,441405
Suburbs,77,2,2,828.0,6995.0,1,Double,0,Excellent,Central,6.1,0.5,0.0,286085
Suburbs,76,2,1,902.0,6705.0,1,Double,1,Good,Electric,9.7,2.47,2009.0,258252
Uptown,4,3,2,1599.0,4326.0,1,Single,0,Good,Central,8.5,7.43,,403010
Suburbs,72,4,4,1507.0,8014.0,2,Double,0,Poor,Radiator,7.9,10.23,2020.0,241651
Suburbs,64,6,4,2693.0,7413.0,1,Single,0,Good,Central,8.5,2.49,2016.0,526417
Rural,37,3,2,1263.0,7554.0,1,,0,Good,Electric,5.9,2.66,2008.0,259928
Midtown,31,4,2,1941.0,8000.0,1,Single,0,Good,Central,3.8,0.04,2009.0,363119
Waterfront,37,2,1,953.0,7981.0,2,Single,0,Good,Central,5.9,9.52,2010.0,304982
Rural,45,5,3,2310.0,4854.0,2,Single,1,Fair,Electric,6.6,2.37,2006.0,372486
Downtown,8,4,2,1623.0,9402.0,1,Single,0,Good,Central,3.7,21.64,0.0,359875
Waterfront,40,4,3,1527.0,4720.0,1,Single,0,Fair,Electric,5.6,2.13,0.0,372215
Midtown,5,2,1,1013.0,3523.0,1,Double,0,Good,Electric,9.5,0.01,0.0,278317
Downtown,28,1,1,548.0,4966.0,1,Double,1,Fair,Radiator,3.9,1.23,1999.0,198658
Rural,9,4,3,1535.0,4284.0,2,,0,Poor,Central,7.4,3.91,2016.0,214627
Uptown,2,2,2,730.0,1893.0,1,Single,0,Fair,Electric,8.9,8.02,2023.0,242886
Historic,63,2,1,998.0,1825.0,2,Single,0,Fair,Central,8.1,0.12,0.0,232395
Waterfront,51,2,1,837.0,2185.0,2,Single,0,Excellent,Electric,4.4,0.07,2014.0,339745
Historic,31,2,1,785.0,7836.0,2,Single,0,Fair,Electric,5.9,1.57,0.0,214422
Suburbs,7,4,4,1820.0,7004.0,1,Double,0,Fair,Central,6.9,0.99,,328778
Suburbs,30,3,2,1455.0,2219.0,1,Single,0,Excellent,Central,3.9,3.32,2012.0,347061
Uptown,58,3,2,1178.0,3144.0,1,Single,0,Good,Central,4.8,11.42,2012.0,292964
Uptown,3,3,2,1646.0,2399.0,2,,0,Fair,Central,7.6,1.32,0.0,292721
Uptown,51,4,3,1662.0,3255.0,2,,0,Good,Central,8.8,2.27,2008.0,395840
Midtown,56,5,3,2064.0,6624.0,3,Single,0,Fair,Central,9.6,6.43,2020.0,397054
Rural,73,3,3,1303.0,7457.0,1,Double,0,Fair,Central,4.5,4.02,0.0,197074
Rural,10,3,3,1497.0,5410.0,2,Double,0,Good,Central,6.8,1.02,2015.0,307243
Historic,61,3,2,1573.0,3309.0,3,Single,0,Poor,Central,7.5,1.64,0.0,237078
Waterfront,50,3,2,1244.0,3552.0,2,Single,0,Poor,Radiator,8.0,7.28,2014.0,280980
